Symbol,Date,Open,High,Low,Close,Volume
323990,2020-09-22,27000,27000,20750,21300,4090940
323990,2020-09-23,22150,27650,22050,25500,8921196
323990,2020-09-24,24450,31200,24000,26500,8325838
323990,2020-09-25,27100,30500,26000,26950,4612185
323990,2020-09-28,27800,29150,27050,28000,1628177
323990,2020-09-29,29150,29900,26900,27100,1412763
323990,2020-10-05,27100,28000,24950,25350,746606
323990,2020-10-06,25700,26250,24400,25050,734259
323990,2020-10-07,24650,25550,24600,25050,347711
323990,2020-10-08,25300,25400,24450,24500,366123
323990,2020-10-12,24650,24700,23400,23850,392028
323990,2020-10-13,24150,26550,24100,24700,1352987
323990,2020-10-14,24750,25450,24450,25200,490911
323990,2020-10-15,25200,25450,23350,23700,398795
323990,2020-10-16,23550,23950,22450,22550,248344
323990,2020-10-19,22950,22950,21150,21350,320036
323990,2020-10-20,20950,24500,20450,23600,1853601
323990,2020-10-21,23100,23950,22250,22250,520412
323990,2020-10-22,22100,25450,21750,24350,1883614
323990,2020-10-23,24000,25400,23250,24600,811217
323990,2020-10-26,25100,31950,24700,31700,10137430
323990,2020-10-27,30200,39200,29600,35450,13478548
323990,2020-10-28,36200,37600,33850,34200,3304374
323990,2020-10-29,33700,35900,33150,35550,1818414
323990,2020-10-30,37900,46200,37100,46200,6558986
323990,2020-11-02,50800,58000,46000,54000,8764865
323990,2020-11-03,55600,70200,55300,70200,5214897
323990,2020-11-04,75500,82800,70000,78000,5209025
323990,2020-11-05,0,0,0,78000,0
323990,2020-11-06,92400,100500,83200,91900,5433781
323990,2020-11-09,94900,99200,87000,95600,2539504
323990,2020-11-10,92100,92600,78600,82000,3232860
323990,2020-11-11,77400,78400,65000,68500,3793139
323990,2020-11-12,69100,74500,66000,71000,3170293
323990,2020-11-13,68900,69200,60400,63000,2293536
323990,2020-11-16,76300,81900,75200,81900,1003594
323990,2020-11-17,95700,106400,86500,106400,5912653
323990,2020-11-18,0,0,0,106400,0
323990,2020-11-19,113300,135000,101300,101300,6983006
323990,2020-11-20,101300,110500,92100,106500,4548209
323990,2020-11-23,109000,110500,103300,104800,1368081
323990,2020-11-24,104700,105500,96500,98300,1310141
323990,2020-11-24,104700,105500,96500,99000,1377071
