종목코드,종목명,시장구분,산업분류,현재가(종가),전일대비,시가총액(원),일자,관리여부,종가,EPS,BPS,주당배당금,배당수익률,PER,PBR,PCR,PSR
091990,셀트리온헬스케어,코스닥,유통,160500,-7500,24365476431000,2020-12-28,-,160500,435,11029,0,0,392.136447904615,15.3003596337115,,23.1527560303388
068760,셀트리온제약,코스닥,제약,257300,17300,9214076900100,2020-12-28,-,257300,241,7826,0,0,1041.4232922907,31.9865725489286,321.012197623656,51.6209816351585
096530,씨젠,코스닥,제약,176800,-10900,4638174736000,2020-12-28,-,176800,1026,5815,100,0.06,195.821729812734,34.2175404842932,192.931372177122,42.8560670983607
028300,에이치엘비,코스닥,운송장비·부품,87300,-1800,4624272357300,2020-12-28,-,87300,,3835,0,0,,25.589053654334,,126.079399776042
196170,알테오젠,코스닥,기타서비스,152000,-4600,4268600800000,2020-12-28,-,152000,,2519,0,0,,70.8873202279202,546.845041758242,170.42088630137
036490,SK머티리얼즈,코스닥,IT H/W,357600,24100,3771847864800,2020-12-28,-,357600,13507,44730,3850,1.08,29.2076748439938,7.19666330001922,14.8883654671968,4.84903381895882
263750,펄어비스,코스닥,IT S/W & SVC,280000,11500,3.662358e+12,2020-12-28,-,280000,13002,45229,0,0,22.5268691185796,6.03138753820034,21.0955300475059,6.62901149468184
247540,에코프로비엠,코스닥,일반전기전자,165600,1000,3483423489600,2020-12-28,-,165600,1750,18010,150,0.09,103.041827652174,9.60276351701783,277.72992609375,5.77007475085213
293490,카카오게임즈,코스닥,IT S/W & SVC,45500,250,3369349347000,2020-12-28,-,45500,197,7443,0,0,305.967887754546,8.06336072184955,47.8754874153627,8.60779223861893
032500,케이엠더블유,코스닥,IT H/W,77500,100,3086118432500,2020-12-28,-,77500,2654,5444,0,0,31.2518322278481,14.8042581632841,,4.69990213764827
035760,CJ ENM,코스닥,통신방송서비스,140000,2400,3070081560000,2020-12-28,-,140000,5310,134364,1400,1,29.2739474222649,0.967779853865922,4.10323556820016,0.804904166926142
095700,제넥신,코스닥,기타서비스,115000,-4300,2790901995000,2020-12-28,-,115000,,12496,0,0,,10.2318161064331,,268.834177168142
253450,스튜디오드래곤,코스닥,오락·문화,91800,2700,2754398871000,2020-12-28,-,91800,941,15242,0,0,103.992332102273,6.40998731613355,,5.85747294111372
145020,휴젤,코스닥,제약,186200,4000,2359179137000,2020-12-28,-,186200,3641,55220,0,0,52.8395764573991,3.16625703345425,30.6057806493507,11.5183045454545
235980,메드팩토,코스닥,기타서비스,114800,5300,2334439861600,2020-12-28,-,114800,,3897,0,0,,30.799404909784,,
240810,원익IPS,코스닥,IT H/W,44000,900,2159691644000,2020-12-28,-,44000,899,11543,0,0,49.5987670944056,3.7553602335863,,3.17959818940526
357780,솔브레인,코스닥,화학,271400,3800,2111102812400,2020-12-28,-,271400,,,,,,,,
058470,리노공업,코스닥,IT H/W,137000,5000,2088204690000,2020-12-28,-,137000,3485,19694,1200,0.88,39.31,6.86972905063291,45.4249484801762,12.109763129771
066970,엘앤에프,코스닥,IT H/W,71300,1700,2000587377700,2020-12-28,-,71300,,5040,50,0.07,,15.1150968057663,,6.35866504628152
078340,컴투스,코스닥,IT S/W & SVC,152500,1600,1962129050000,2020-12-28,-,152500,9160,71478,1400,0.92,18.4019727906977,2.22319057488654,15.8500813405239,4.38384947368421
278280,천보,코스닥,화학,181000,2000,1.81e+12,2020-12-28,-,181000,2348,21034,300,0.17,79.2173913043478,8.65147198480532,80.2643171806168,13.4663710273466
039200,오스코텍,코스닥,제약,61400,3700,1792899095400,2020-12-28,-,61400,,1708,0,0,,34.6753693125,,428.713656954545
005290,동진쎄미켐,코스닥,IT H/W,34400,750,1768658593600,2020-12-28,-,34400,1138,6931,90,0.26,30.2774242444444,4.91462075,16.2946579420423,2.02356828321718
237690,에스티팜,코스닥,제약,93500,-800,1.744336e+12,2020-12-28,-,93500,,16132,0,0,,6.21661903193941,,20.2356613076099
000250,삼천당제약,코스닥,제약,76400,1100,1739478332400,2020-12-28,-,76400,488,7142,50,0.07,171.5192422,8.06878155510753,58.8546419313726,9.65140430385852
060250,NHN한국사이버결제,코스닥,IT S/W & SVC,69300,2600,1591917534900,2020-12-28,-,69300,1109,5535,230,0.33,62.3509238571429,11.9905622802198,20.8688201434426,3.25089941370504
141080,레고켐바이오,코스닥,기타서비스,66200,2100,1567867957200,2020-12-28,-,66200,641,4741,0,0,103.28,13.5505345421184,60.8505277752809,29.8111759926606
200130,콜마비앤에이치,코스닥,제약,52700,1500,1556945506600,2020-12-28,-,52700,1844,8544,250,0.47,28.1883489174312,6.03403384131972,19.645332685422,3.50026205513784
140410,메지온,코스닥,기타서비스,174600,6400,1552666467600,2020-12-28,-,174600,,4920,0,0,,36.5681368224299,,82.8103839153439
323990,박셀바이오,코스닥,기타서비스,198000,-21900,1.489554e+12,2020-12-28,-,198000,,1394,0,0,,212.793428571429,,
030190,NICE평가정보,코스닥,기타서비스,24300,650,1475370126000,2020-12-28,-,24300,682,3692,230,0.95,35.2681675,6.41811433541481,23.3594356168831,3.50192561207106
064760,티씨케이,코스닥,IT H/W,123000,7700,1.436025e+12,2020-12-28,-,123000,4011,18883,900,0.73,30.67,6.63436507936508,40.4109806629834,8.53487456242707
298380,에이비엘바이오,코스닥,제약,31050,1650,1435945286250,2020-12-28,-,31050,,2914,0,0,,11.0360309659091,,364.189021875
098460,고영,코스닥,기계·장비,104500,5100,1434884379500,2020-12-28,-,104500,2192,17763,550,0.53,48.5686003277027,5.89918165654493,49.233923619863,6.47289765736155
056190,에스에프에이,코스닥,기계·장비,39450,1500,1416600582000,2020-12-28,-,39450,3939,24380,1056,2.68,10.459786530303,1.24151768905674,179.310626233766,0.875129506243266
039030,이오테크닉스,코스닥,IT H/W,111900,1300,1378557645000,2020-12-28,-,111900,984,31593,150,0.13,114.541270661157,3.51942451752158,26.1994210775047,6.71161924939467
034230,파라다이스,코스닥,오락·문화,15050,-100,1368687213600,2020-12-28,-,15050,177,13924,100,0.66,92.4483453774834,0.870196992394963,8.90286999489796,1.42533185133755
035900,JYP Ent.,코스닥,오락·문화,38500,1450,1366653442000,2020-12-28,-,38500,947,4477,155,0.4,43.8331650415336,8.4533460616143,26.95438243222,8.82868768211068
268600,셀리버리,코스닥,기타서비스,164500,-1800,1346450101500,2020-12-28,-,164500,,3489,0,0,,56.4562508461539,,733.931261
086450,동국제약,코스닥,제약,29500,550,1.31157e+12,2020-12-28,-,29500,1283,8031,160,0.54,23.2171225577265,3.39160352880125,18.8075395683453,2.71018867924528
084850,아이티엠반도체,코스닥,IT H/W,55400,200,1280061375400,2020-12-28,-,55400,2220,11668,0,0,31.1956018297362,4.88309533145646,31.497738409201,3.27094945008801
067630,에이치엘비생명과학,코스닥,기타서비스,27100,650,1275609276300,2020-12-28,-,27100,,7094,0,0,,3.8427732263756,,11.2721347973684
069080,웹젠,코스닥,IT S/W & SVC,33950,150,1198804511800,2020-12-28,-,33950,1369,10064,0,0,28.3896191784038,3.40100612204724,61.7039682142857,6.86767618966496
046890,서울반도체,코스닥,IT H/W,19400,0,1131124760000,2020-12-28,-,19400,601,11339,156,0.8,33.4622295652174,1.54813855437844,6.81089628318584,1.02172486060713
