종목코드,종목명,시장구분,산업분류,현재가(종가),전일대비,시가총액(원),일자,관리여부,종가,EPS,BPS,주당배당금,배당수익률,PER,PBR,PCR,PSR
091990,셀트리온헬스케어,코스닥,유통,163000,-4900,24745000986000,2020-12-30,-,163000,427,10816,0,0,353.366554901539,13.7876379546191,,20.8636806872559
068760,셀트리온제약,코스닥,제약,238600,-11500,8544417988200,2020-12-30,-,238600,236,7674,0,0,909.007215941861,27.9195073467857,280.195772655914,45.0574181965418
096530,씨젠,코스닥,제약,193000,-6300,5063165860000,2020-12-30,-,193000,1026,5815,100,0.05,180.592242546817,31.5563669895288,177.926674391144,39.5230563606557
196170,알테오젠,코스닥,기타서비스,179700,2500,5046497130000,2020-12-30,-,179700,,2519,0,0,,69.0071260683761,532.340686813187,165.900693493151
028300,에이치엘비,코스닥,운송장비·부품,92500,1100,4899715842500,2020-12-30,-,92500,,3835,0,0,,26.1209924064482,,128.700306335938
036490,SK머티리얼즈,코스닥,IT H/W,357800,2800,3773957399400,2020-12-30,-,357800,13507,44730,3850,1.08,29.2570399282371,7.2088266746108,14.9135289017893,4.85722936907537
247540,에코프로비엠,코스닥,일반전기전자,170100,1100,3578081736600,2020-12-30,-,170100,1750,18010,150,0.09,114.13863986087,10.636907280389,307.63930275,6.39146741632852
293490,카카오게임즈,코스닥,IT S/W & SVC,46000,550,3406375164000,2020-12-30,-,46000,197,7443,0,0,309.942266727273,8.1680999856253,48.4973674822191,8.71960341176471
263750,펄어비스,코스닥,IT S/W & SVC,260300,-11300,3404684955000,2020-12-30,-,260300,13002,45229,0,0,20.9012187698161,5.59613276740238,19.5731722090261,6.15062922186975
032500,케이엠더블유,코스닥,IT H/W,80700,100,3213545258100,2020-12-30,-,80700,2654,5444,0,0,31.7171200525803,15.024668954797,,4.76987586674477
095700,제넥신,코스닥,기타서비스,124300,1300,3069933308200,2020-12-30,-,124300,,12496,0,0,,10.2817274045133,,270.14556339823
035760,CJ ENM,코스닥,통신방송서비스,139500,400,3059116983000,2020-12-30,-,139500,5310,134364,1400,1,29.8421692629559,0.986564940892795,4.18288140597256,0.820527756075679
253450,스튜디오드래곤,코스닥,오락·문화,92600,1100,2778402347000,2020-12-30,-,92600,941,15242,0,0,107.401916761364,6.62015083469531,,6.04952123426499
235980,메드팩토,코스닥,기타서비스,117700,-1500,2393410903400,2020-12-30,-,117700,,3897,0,0,,29.4666707496823,,
145020,휴젤,코스닥,제약,187800,1800,2379451353000,2020-12-30,-,187800,3641,55220,0,0,53.9759114349776,3.2343485825608,31.2639694805195,11.7660100195503
240810,원익IPS,코스닥,IT H/W,44250,900,2171962619250,2020-12-30,-,44250,899,11543,0,0,50.6857066270396,3.83765763201553,,3.24927796518231
357780,솔브레인,코스닥,화학,272300,1100,2118103521800,2020-12-30,-,272300,,,,,,,,
058470,리노공업,코스닥,IT H/W,135000,-300,2057719950000,2020-12-30,-,135000,3485,19694,1200,0.89,38.74,6.86972905063291,45.4249484801762,12.109763129771
078340,컴투스,코스닥,IT S/W & SVC,159300,-600,2049620706000,2020-12-30,-,159300,9160,71478,1400,0.88,18.49404019678,2.2343134795764,15.9293813097072,4.4057824291498
066970,엘앤에프,코스닥,IT H/W,71500,500,2006199123500,2020-12-30,-,71500,,5040,50,0.07,,16.2859845864947,,6.85123769071178
237690,에스티팜,코스닥,제약,103800,2600,1936492800000,2020-12-30,-,103800,,16132,0,0,,6.38247744484689,,20.7755455519829
